Fine validità (UTC)	wndDir	wndSpeed
29/02/2016 23:00:00	213	1.3
01/03/2016 00:00:00	153	1
01/03/2016 01:00:00	223	2.2
01/03/2016 02:00:00	205	2.1
01/03/2016 03:00:00	219	1.3
01/03/2016 04:00:00	250	2
01/03/2016 05:00:00	238	1.7
01/03/2016 06:00:00	263	1.1
01/03/2016 07:00:00	289	1.1
01/03/2016 08:00:00	332	0.8
01/03/2016 09:00:00	314	1
01/03/2016 10:00:00	345	1.4
01/03/2016 11:00:00	348	2.1
01/03/2016 12:00:00	329	1.4
01/03/2016 13:00:00	331	0.9
01/03/2016 14:00:00	349	1.8
01/03/2016 15:00:00	267	0.9
01/03/2016 16:00:00	351	1.5
01/03/2016 17:00:00	75	1.9
01/03/2016 18:00:00	128	1.8
01/03/2016 19:00:00	170	1
01/03/2016 20:00:00	211	1.7
01/03/2016 21:00:00	180	1.3
01/03/2016 22:00:00	203	1.7
01/03/2016 23:00:00	210	2.7
02/03/2016 00:00:00	187	1.1
02/03/2016 01:00:00	222	0.5
02/03/2016 02:00:00	214	1.3
02/03/2016 03:00:00	231	1.9
02/03/2016 04:00:00	196	1.5
02/03/2016 05:00:00	238	1.9
02/03/2016 06:00:00	220	3
02/03/2016 07:00:00	205	2.1
02/03/2016 08:00:00	238	0.4
02/03/2016 09:00:00	360	1.8
02/03/2016 10:00:00	8	1.5
02/03/2016 11:00:00	43	2.5
02/03/2016 12:00:00	49	3.4
02/03/2016 13:00:00	73	3.9
02/03/2016 14:00:00	70	3.6
02/03/2016 15:00:00	82	3.5
02/03/2016 16:00:00	152	2.5
02/03/2016 17:00:00	200	3.4
02/03/2016 18:00:00	202	3.5
02/03/2016 19:00:00	196	3.5
02/03/2016 20:00:00	207	5.9
02/03/2016 21:00:00	140	2.7
02/03/2016 22:00:00	135	4
02/03/2016 23:00:00	104	2.6
03/03/2016 00:00:00	160	2.2
03/03/2016 01:00:00	243	8.2
03/03/2016 02:00:00	224	5.2
03/03/2016 03:00:00	249	8.4
03/03/2016 04:00:00	246	6.3
03/03/2016 05:00:00	248	6
03/03/2016 06:00:00	260	6.1
03/03/2016 07:00:00	271	4.3
03/03/2016 08:00:00	277	4.3
03/03/2016 09:00:00	297	2.8
03/03/2016 10:00:00	341	3.4
03/03/2016 11:00:00	323	1.5
03/03/2016 12:00:00	16	3.6
03/03/2016 13:00:00	11	0.8
03/03/2016 14:00:00	237	1.4
03/03/2016 15:00:00	359	2.6
03/03/2016 16:00:00	18	3.4
03/03/2016 17:00:00	77	2.1
03/03/2016 18:00:00	86	1.8
03/03/2016 19:00:00	151	1.1
03/03/2016 20:00:00	165	0.8
03/03/2016 21:00:00	172	1.4
03/03/2016 22:00:00	171	0.6
03/03/2016 23:00:00	223	1.7
04/03/2016 00:00:00	276	1.2
04/03/2016 01:00:00	216	1.7
04/03/2016 02:00:00	217	3.1
04/03/2016 03:00:00	226	3.6
04/03/2016 04:00:00	217	3.9
04/03/2016 05:00:00	217	2.2
04/03/2016 06:00:00	205	4.5
04/03/2016 07:00:00	208	2.9
04/03/2016 08:00:00	205	3.1
04/03/2016 09:00:00	267	2.2
04/03/2016 10:00:00	263	2.6
04/03/2016 11:00:00	285	1.7
04/03/2016 12:00:00	268	1.9
04/03/2016 13:00:00	303	1.5
04/03/2016 14:00:00	331	1.8
04/03/2016 15:00:00	8	1.9
04/03/2016 16:00:00	86	1.9
04/03/2016 17:00:00	108	2.2
04/03/2016 18:00:00	153	1.1
04/03/2016 19:00:00	235	1.7
04/03/2016 20:00:00	167	1
04/03/2016 21:00:00	204	3.6
04/03/2016 22:00:00	207	3.8
04/03/2016 23:00:00	197	5.9
05/03/2016 00:00:00	203	4.6
05/03/2016 01:00:00	190	2.5
05/03/2016 02:00:00	135	1.9
05/03/2016 03:00:00	137	3.4
05/03/2016 04:00:00	83	1.6
05/03/2016 05:00:00	113	2.3
05/03/2016 06:00:00	105	2
05/03/2016 07:00:00	129	3.6
05/03/2016 08:00:00	113	4.5
05/03/2016 09:00:00	105	4.9
05/03/2016 10:00:00	146	5.1
05/03/2016 11:00:00	131	5
05/03/2016 12:00:00	158	3.6
05/03/2016 13:00:00	141	7.2
05/03/2016 14:00:00	134	5.8
05/03/2016 15:00:00	193	3.6
05/03/2016 16:00:00	308	1.9
05/03/2016 17:00:00	340	0.6
05/03/2016 18:00:00	133	3
05/03/2016 19:00:00	76	1.2
05/03/2016 20:00:00	273	2.8
05/03/2016 21:00:00	251	2.5
05/03/2016 22:00:00	275	1.1
05/03/2016 23:00:00	275	2.2
06/03/2016 00:00:00	259	3.2
06/03/2016 01:00:00	272	1.3
06/03/2016 02:00:00	251	2.5
06/03/2016 03:00:00	238	1.6
06/03/2016 04:00:00	222	2.1
06/03/2016 05:00:00	19	0.8
06/03/2016 06:00:00	291	0.6
06/03/2016 07:00:00	346	0.8
06/03/2016 08:00:00	300	0.7
06/03/2016 09:00:00	344	1.4
06/03/2016 10:00:00	351	2.3
06/03/2016 11:00:00	320	0.8
06/03/2016 12:00:00	25	0.8
06/03/2016 13:00:00	356	2
06/03/2016 14:00:00	348	1.6
06/03/2016 15:00:00	38	1.1
06/03/2016 16:00:00	176	1
06/03/2016 17:00:00	280	0.6
06/03/2016 18:00:00	287	1.1
06/03/2016 19:00:00	262	1.8
06/03/2016 20:00:00	331	1.1
06/03/2016 21:00:00	3	0.4
06/03/2016 22:00:00	334	0.5
06/03/2016 23:00:00	331	1
07/03/2016 00:00:00	296	0.8
07/03/2016 01:00:00	259	1
07/03/2016 02:00:00	336	1
07/03/2016 03:00:00	302	0.9
07/03/2016 04:00:00	308	1
07/03/2016 05:00:00	316	0.9
07/03/2016 06:00:00	276	1
07/03/2016 07:00:00	305	0.9
07/03/2016 08:00:00	287	1.2
07/03/2016 09:00:00	329	1
07/03/2016 10:00:00	312	1.1
07/03/2016 11:00:00	317	1.5
07/03/2016 12:00:00	307	1.3
07/03/2016 13:00:00	250	3.3
07/03/2016 14:00:00	327	1.3
07/03/2016 15:00:00	301	1.7
07/03/2016 16:00:00	315	1
07/03/2016 17:00:00	217	1.3
07/03/2016 18:00:00	195	1.1
07/03/2016 19:00:00	203	4.5
07/03/2016 20:00:00	203	7
07/03/2016 21:00:00	214	3.6
07/03/2016 22:00:00	236	1.8
07/03/2016 23:00:00	142	1.7
08/03/2016 00:00:00	197	1.5
08/03/2016 01:00:00	223	0.6
08/03/2016 02:00:00	202	4
08/03/2016 03:00:00	204	4.5
08/03/2016 04:00:00	195	1.3
08/03/2016 05:00:00	214	1
08/03/2016 06:00:00	197	1.9
08/03/2016 07:00:00	231	1
08/03/2016 08:00:00	254	2.1
08/03/2016 09:00:00	243	2
08/03/2016 10:00:00	256	1.5
08/03/2016 11:00:00	242	2
08/03/2016 12:00:00	250	1.3
08/03/2016 13:00:00	359	0.5
08/03/2016 14:00:00	355	2.9
