Fine validità (UTC)	Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)	Irradianza globale visibile media oraria - componente dall'alto (W/M**2)	Precipitazione cumulata su 1 ora (KG/M**2)	Umidita' relativa dell'aria istantanea a 2 m dal suolo (%)	Temperatura dell'aria istantanea a 2 m dal suolo (°C)
01/03/2016 00:00:00	100020	1	0	95	8.6
01/03/2016 01:00:00	100020	3	0	93	8.6
01/03/2016 02:00:00	100000	-3	0	95	8.3
01/03/2016 03:00:00	100000	-7	0	96	8.3
01/03/2016 04:00:00	100020	-5	0	95	8.9
01/03/2016 05:00:00	100060	-6	0	95	8.9
01/03/2016 06:00:00	100140	0	0	94	9
01/03/2016 07:00:00	100240	13	0	96	9.1
01/03/2016 08:00:00	100310	37	0	95	9.4
01/03/2016 09:00:00	100340	119	0	92	9.9
01/03/2016 10:00:00	100370	139	0	89	10.7
01/03/2016 11:00:00	100390	180	0	87	10.8
01/03/2016 12:00:00	100360	417	0	75	12.1
01/03/2016 13:00:00	100340	503	0	59	13.6
01/03/2016 14:00:00	100320	300	0	58	13.5
01/03/2016 15:00:00	100310	293	0	56	14.4
01/03/2016 16:00:00	100320	165	0	55	13.7
01/03/2016 17:00:00	100350	38	0	68	12.8
01/03/2016 18:00:00	100420	-2	0	76	11.8
01/03/2016 19:00:00	100420	-5	0	78	10.9
01/03/2016 20:00:00	100450	-5	0	82	9.7
01/03/2016 21:00:00	100470	-2	0	80	9.8
01/03/2016 22:00:00	100470	-2	0	83	8.4
01/03/2016 23:00:00	100460	0	0	78	8.2
02/03/2016 00:00:00	100470	-1	0	75	8.4
02/03/2016 01:00:00	100450	-3	0	79	7.6
02/03/2016 02:00:00	100380	-9	0	77	7.6
02/03/2016 03:00:00	100320	-9	0	76	7.6
02/03/2016 04:00:00	100290	-13	0	71	7.9
02/03/2016 05:00:00	100290	-8	0	72	7.5
02/03/2016 06:00:00	100330	-1	0	70	7.4
02/03/2016 07:00:00	100330	78	0	72	7.3
02/03/2016 08:00:00	100300	275	0	59	10.6
02/03/2016 09:00:00	100250	349	0	57	11.5
02/03/2016 10:00:00	100190	524	0	53	12.9
02/03/2016 11:00:00	100100	585	0	50	13.4
02/03/2016 12:00:00	99920	623	0	48	14.5
02/03/2016 13:00:00	99810	543	0	46	15
