Date	Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)	Irradianza globale visibile media oraria - componente dall'alto (W/M**2)	Precipitazione cumulata su 1 ora (KG/M**2)	Umidita' relativa dell'aria istantanea a 2 m dal suolo (%)	Temperatura dell'aria istantanea a 2 m dal suolo (°C)
01/03/2017 00:00:00	99110	-1	0	47	13.3
01/03/2017 01:00:00	99240	-1	0	47	13.1
01/03/2017 02:00:00	99270	-8	0	64	10.2
01/03/2017 03:00:00	99250	-9	0	44	10.8
01/03/2017 04:00:00	99320	-6	0	35	11.3
01/03/2017 05:00:00	99400	-4	0	22	12.3
01/03/2017 06:00:00	99580	0	0	19	12.2
01/03/2017 07:00:00	99740	103	0	18	12.5
01/03/2017 08:00:00	99910	285	0	17	13.2
01/03/2017 09:00:00	100020	412	0	15	14.2
01/03/2017 10:00:00	100130	564	0	13	15.1
01/03/2017 11:00:00	100160	628	0	14	15.6
01/03/2017 12:00:00	100160	634	0	13	16.3
01/03/2017 13:00:00	100170	589	0	12	17.2
01/03/2017 14:00:00	100220	487	0	12	17.6
01/03/2017 15:00:00	100220	345	0	12	17.2
01/03/2017 16:00:00	100250	173	0	13	17.4
01/03/2017 17:00:00	100300	33	0	16	15.9
01/03/2017 18:00:00	100390	-5	0	26	13.8
01/03/2017 19:00:00	100440	-4	0	46	13.3
01/03/2017 20:00:00	100450	-6	0	44	12.3
01/03/2017 21:00:00	100500	-3	0	42	11.7
01/03/2017 22:00:00	100490	-1	0	45	11.5
01/03/2017 23:00:00	100450	-1	0	48	11.7
02/03/2017 00:00:00	100460	-1	0	49	11.8
02/03/2017 01:00:00	100450	-2	0	52	12.1
02/03/2017 02:00:00	100480	-8	0	49	9.6
02/03/2017 03:00:00	100480	-11	0	54	7.9
02/03/2017 04:00:00	100490	-12	0	61	6.6
02/03/2017 05:00:00	100520	-9	0	63	7.2
02/03/2017 06:00:00	100560	-2	0	67	6.4
02/03/2017 07:00:00	100600	99	0	63	7.1
02/03/2017 08:00:00	100630	238	0	62	8.1
02/03/2017 09:00:00	100630	367	0	64	10.1
02/03/2017 10:00:00	100630	521	0	58	11.4
02/03/2017 11:00:00	100640	592	0	57	12.1
02/03/2017 12:00:00	100620	601	0	51	13.3
02/03/2017 13:00:00	100560	548	0	43	15.8
02/03/2017 14:00:00	100530	457	0	43	16.2
