Fine validità (UTC)	Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)	Irradianza globale visibile media oraria - componente dall'alto (W/M**2)	Precipitazione cumulata su 1 ora (KG/M**2)	Umidita' relativa dell'aria istantanea a 2 m dal suolo (%)	Temperatura
01/03/2018 00:00:00	101030	0	0	97	-1.8
01/03/2018 01:00:00	100970	0	0	99	-2.2
01/03/2018 02:00:00	100910	-2	0	100	-2.1
01/03/2018 03:00:00	100850	-5	0	101	-2
01/03/2018 04:00:00	100770	-1	0	101	-2.8
01/03/2018 05:00:00	100720	-5	0	100	-3.1
01/03/2018 06:00:00	100660	1	0	100	-3.1
01/03/2018 07:00:00	100640	9	0	100	-2.7
01/03/2018 08:00:00	100640	21	0	100	-2.5
01/03/2018 09:00:00	100610	56	0	100	-2.4
01/03/2018 10:00:00	100570	72	0	100	-2.6
01/03/2018 11:00:00	100520	94	0	99	-2.6
01/03/2018 12:00:00	100420	91	0	98	-2.4
01/03/2018 13:00:00	100320	113	0	98	-2.6
01/03/2018 14:00:00	100250	74	0	98	-2.5
01/03/2018 15:00:00	100150	51	0	98	-2.6
01/03/2018 16:00:00	100070	44	0	99	-2.5
01/03/2018 17:00:00	100020	9	0	98	-2.1
01/03/2018 18:00:00	99970	0	0	97	-2.1
01/03/2018 19:00:00	99930	0	0	98	-2.2
01/03/2018 20:00:00	99880	-1	0	98	-2.3
01/03/2018 21:00:00	99830	0	0	98	-1.9
01/03/2018 22:00:00	99760	-1	0	97	-1.9
01/03/2018 23:00:00	99710	0	0	97	-2
02/03/2018 00:00:00	99650	0	0	98	-2
02/03/2018 01:00:00	99550	1	0	99	-1.9
02/03/2018 02:00:00	99450	1	0	98	-1.9
02/03/2018 03:00:00	99380	0	0	95	-1.6
02/03/2018 04:00:00	99260	-1	0	93	-1.3
02/03/2018 05:00:00	99200	1	0	92	-1.2
02/03/2018 06:00:00	99140	2	0	94	-1.3
02/03/2018 07:00:00	99090	15	0	97	-1.1
02/03/2018 08:00:00	99010	42	0	95	-0.6
02/03/2018 09:00:00	98950	70	0	93	-0.2
02/03/2018 10:00:00	98900	91	0.2	95	-0.2
02/03/2018 11:00:00	98820	199	2	92	-0.1
02/03/2018 12:00:00	98790	127	1.6	92	0.2
02/03/2018 13:00:00	98710	170	2	92	0.3
02/03/2018 14:00:00	98710	128	2	92	0.5
02/03/2018 15:00:00	98660	100	1	93	0.8
02/03/2018 16:00:00	98730	46	0.8	95	0.7
02/03/2018 17:00:00	98770	18	0.4	95	0.6
02/03/2018 18:00:00	98820	0	0.2	96	0.6
02/03/2018 19:00:00	98890	0	0.2	95	0.5
02/03/2018 20:00:00	98910	0	0.2	91	0.9
02/03/2018 21:00:00	98930	0	0.2	88	1.2
02/03/2018 22:00:00	98960	0	0	90	1.3
02/03/2018 23:00:00	99080	0	0.2	92	0.9
03/03/2018 00:00:00	99100	0	0	91	0.6
03/03/2018 01:00:00	99100	0	0	88	0.7
03/03/2018 02:00:00	99070	-3	0	90	0.3
03/03/2018 03:00:00	99040	0	0.2	90	0.8
03/03/2018 04:00:00	99030	1	0	90	0.4
03/03/2018 05:00:00	98960	2	0	88	1.6
03/03/2018 06:00:00	99010	0	0.2	86	1.5
03/03/2018 07:00:00	99030	17	0.6	93	0.5
03/03/2018 08:00:00	99120	60	0.2	90	1
03/03/2018 09:00:00	99130	65	0.4	93	0.7
03/03/2018 10:00:00	99000	111	0.4	96	0.7
03/03/2018 11:00:00	98960	110	1	96	0.7
03/03/2018 12:00:00	98950	65	2	99	0.5
03/03/2018 13:00:00	98930	53	1.6	100	0.6
03/03/2018 14:00:00	98870	69	1.8	100	1
03/03/2018 15:00:00	98880	24	1	101	0.5
03/03/2018 16:00:00	98950	24	0.6	101	0.4
03/03/2018 17:00:00	99010	7	0.6	101	0.4
03/03/2018 18:00:00	99070	0	0.6	102	0.5
03/03/2018 19:00:00	99140	-2	0.8	102	0.5
03/03/2018 20:00:00	99230	1	0.6	102	0.7
03/03/2018 21:00:00	99240	1	0.8	99	1.5
03/03/2018 22:00:00	99300	2	0.6	97	1.6
03/03/2018 23:00:00	99340	2	0.2	96	1.3
