Fine validità (UTC)	wndDir	wndSpeed										
30/11/2015 23:00:00	98	0.2										
01/12/2015 00:00:00	221	0.4										
01/12/2015 01:00:00	35	1										
01/12/2015 02:00:00	199	1.5										
01/12/2015 03:00:00	232	2.1										
01/12/2015 04:00:00	238	1.5										
01/12/2015 05:00:00	242	0.7										
01/12/2015 06:00:00	51	0.8										
01/12/2015 07:00:00	220	2.3										
01/12/2015 08:00:00	22	0.6										
01/12/2015 09:00:00	40	0.4										
01/12/2015 10:00:00	2	1.6										
01/12/2015 11:00:00	273	0.9										
01/12/2015 12:00:00	323	0.7										
01/12/2015 13:00:00	326	1										
01/12/2015 14:00:00	326	0.2										
01/12/2015 15:00:00	1	0.8										
01/12/2015 16:00:00	11	1.5										
01/12/2015 17:00:00	81	1.8										
01/12/2015 18:00:00	204	1.2										
01/12/2015 19:00:00	194	0.4										
01/12/2015 20:00:00	196	1.8										
01/12/2015 21:00:00	350	0.9										
01/12/2015 22:00:00	202	1.1										
01/12/2015 23:00:00	213	0.9										
02/12/2015 00:00:00	204	1.5										
02/12/2015 01:00:00	189	1.3										
02/12/2015 02:00:00	3	0.7										
02/12/2015 03:00:00	262	0.1										
02/12/2015 04:00:00	215	1.1										
02/12/2015 05:00:00	223	0										
02/12/2015 06:00:00	263	0.3										
02/12/2015 07:00:00	225	0.3										
02/12/2015 08:00:00	336	0.6										
02/12/2015 09:00:00	348	0.7										
02/12/2015 10:00:00	350	1										
02/12/2015 11:00:00	317	0.7										
02/12/2015 12:00:00	305	1.1										
02/12/2015 13:00:00	242	1										
02/12/2015 14:00:00	224	0.8										
02/12/2015 15:00:00	328	1.4										
02/12/2015 16:00:00	355	0.8										
02/12/2015 17:00:00	278	0.1										
02/12/2015 18:00:00	222	0.9										
02/12/2015 19:00:00		0.2										
02/12/2015 20:00:00	224	0.1										
02/12/2015 21:00:00	215	1.2										
02/12/2015 22:00:00	223	1.2										
02/12/2015 23:00:00	219	1.8										
03/12/2015 00:00:00	248	0.8										
03/12/2015 01:00:00	247	1.1										
03/12/2015 02:00:00	265	0.2										
03/12/2015 03:00:00	303	0.4										
03/12/2015 04:00:00	262	1.3										
03/12/2015 05:00:00	262	0.4										
03/12/2015 06:00:00	249	0.6										
03/12/2015 07:00:00	312	0.5										
03/12/2015 08:00:00	267	1										
03/12/2015 09:00:00	289	1										
03/12/2015 10:00:00												
03/12/2015 11:00:00												
03/12/2015 12:00:00												
03/12/2015 13:00:00												
03/12/2015 14:00:00	343	1.1										
03/12/2015 15:00:00	337	1.4										
03/12/2015 16:00:00	4	0.8										
03/12/2015 17:00:00	348	0.7										
03/12/2015 18:00:00	353	0.4										
03/12/2015 19:00:00	263	0.3										
03/12/2015 20:00:00	279	0.6										
03/12/2015 21:00:00	293	0.3										
03/12/2015 22:00:00	284	1.1										
03/12/2015 23:00:00	258	2.4										
04/12/2015 00:00:00	8	1.1										
04/12/2015 01:00:00	96	0.8										
04/12/2015 02:00:00	351	0.6										
04/12/2015 03:00:00	270	1.9										
04/12/2015 04:00:00	261	1.5										
04/12/2015 05:00:00	260	0.2										
04/12/2015 06:00:00	328	0.3										
04/12/2015 07:00:00	349	0.8										
04/12/2015 08:00:00	351	1.1										
04/12/2015 09:00:00	296	0.7										
04/12/2015 10:00:00	267	1.8										
04/12/2015 11:00:00	325	0.4										
04/12/2015 12:00:00	2	0.9										
04/12/2015 13:00:00	350	2.5										
04/12/2015 14:00:00	331	1.2										
04/12/2015 15:00:00	344	1										
04/12/2015 16:00:00	335	0.9										
04/12/2015 17:00:00	341	1										
04/12/2015 18:00:00	342	0.8										
04/12/2015 19:00:00	344	1.2										
04/12/2015 20:00:00	3	0.7										
04/12/2015 21:00:00	353	0.9										
04/12/2015 22:00:00	359	0.9										
04/12/2015 23:00:00	346	0.9										
05/12/2015 00:00:00	241	0.7										
05/12/2015 01:00:00	1	0.4										
05/12/2015 02:00:00	310	0.3										
05/12/2015 03:00:00	271	1										
05/12/2015 04:00:00	241	1.3										
05/12/2015 05:00:00	245	1.4										
05/12/2015 06:00:00	302	0.4										
05/12/2015 07:00:00	260	1.1										
05/12/2015 08:00:00	276	1.7										
05/12/2015 09:00:00	309	0.8										
05/12/2015 10:00:00	318	1.1										
05/12/2015 11:00:00	296	0.8										
05/12/2015 12:00:00	256	2.8										
05/12/2015 13:00:00	255	1.8										
05/12/2015 14:00:00	304	0.5										
05/12/2015 15:00:00	323	0.6										
05/12/2015 16:00:00	251	1.9										
05/12/2015 17:00:00	266	0.8										
05/12/2015 18:00:00	300	0.6										
05/12/2015 19:00:00	38	0.4										
05/12/2015 20:00:00	220	0.6										
05/12/2015 21:00:00	327	0.8										
05/12/2015 22:00:00	233	1.8										
05/12/2015 23:00:00	238	1.9										
06/12/2015 00:00:00	229	1.5										
06/12/2015 01:00:00	147	0.7										
06/12/2015 02:00:00	132	1.2										
06/12/2015 03:00:00	232	1.6										
06/12/2015 04:00:00	265	2.6										
06/12/2015 05:00:00	243	1.1										
06/12/2015 06:00:00	248	2.8										
06/12/2015 07:00:00	342	0.6										
06/12/2015 08:00:00	237	1.3										
06/12/2015 09:00:00	284	0.7										
06/12/2015 10:00:00	345	1.6										
06/12/2015 11:00:00	309	0.7										
06/12/2015 12:00:00	328	1.4										
06/12/2015 13:00:00	304	0.9										
06/12/2015 14:00:00	343	1.3										
06/12/2015 15:00:00	6	1.6										
06/12/2015 16:00:00	345	0.8										
06/12/2015 17:00:00	336	0.4										
06/12/2015 18:00:00	359	0.6										
06/12/2015 19:00:00	212	1.6										
06/12/2015 20:00:00	358	0.8										
06/12/2015 21:00:00	348	1										
06/12/2015 22:00:00	350	0.8										
06/12/2015 23:00:00	337	0.5										
07/12/2015 00:00:00	232	0.5										
07/12/2015 01:00:00	356	0.4										
07/12/2015 02:00:00	339	0.2										
07/12/2015 03:00:00	292	0.2										
07/12/2015 04:00:00	230	1.4										
07/12/2015 05:00:00	261	1.2										
07/12/2015 06:00:00	274	0.9										
07/12/2015 07:00:00	222	1.5										
07/12/2015 08:00:00	208	2.4										
07/12/2015 09:00:00	230	2.3										
07/12/2015 10:00:00	5	0.5										
07/12/2015 11:00:00	341	1.1										
07/12/2015 12:00:00	28	1.7										
07/12/2015 13:00:00	350	1.6										
07/12/2015 14:00:00	353	2.3										
07/12/2015 15:00:00	1	1.6										
07/12/2015 16:00:00	359	1.9										
07/12/2015 17:00:00	13	1.1										
07/12/2015 18:00:00	347	1										
07/12/2015 19:00:00	355	0.8										
07/12/2015 20:00:00	347	0.9										
07/12/2015 21:00:00	306	0.2										
07/12/2015 22:00:00	284	0.5										
07/12/2015 23:00:00	302	0.4										
08/12/2015 00:00:00	244	1.2										
08/12/2015 01:00:00	279	1.1										
08/12/2015 02:00:00	278	0.8										
08/12/2015 03:00:00	271	2										
08/12/2015 04:00:00	263	2										
08/12/2015 05:00:00	283	1.4										
08/12/2015 06:00:00	275	1.3										
08/12/2015 07:00:00	247	1.4										
08/12/2015 08:00:00	263	2.1										
08/12/2015 09:00:00	282	1.2										
08/12/2015 10:00:00	270	1										
08/12/2015 11:00:00	227	1.9										
08/12/2015 12:00:00	256	1.4										
08/12/2015 13:00:00	261	0.6										
08/12/2015 14:00:00	343	0.5										
08/12/2015 15:00:00	326	0.5										
08/12/2015 16:00:00	344	0.1										
08/12/2015 17:00:00	204	1.6										
08/12/2015 18:00:00	225	1.3										
08/12/2015 19:00:00	223	2.4										
08/12/2015 20:00:00	211	1.9										
08/12/2015 21:00:00	221	2.8										
08/12/2015 22:00:00	219	2.3										
08/12/2015 23:00:00	219	2.5										
09/12/2015 00:00:00	225	2.2										
09/12/2015 01:00:00	257	0.9										
09/12/2015 02:00:00	3	0.4										
09/12/2015 03:00:00	304	0.4										
09/12/2015 04:00:00	352	0.4										
09/12/2015 05:00:00	318	0.5										
09/12/2015 06:00:00	354	1.2										
09/12/2015 07:00:00	239	1										
09/12/2015 08:00:00	312	0.4										
09/12/2015 09:00:00	287	1.2										
09/12/2015 10:00:00	280	1.3										
09/12/2015 11:00:00	289	1.2										
09/12/2015 12:00:00	349	1.4										
09/12/2015 13:00:00	350	1.7										
09/12/2015 14:00:00	300	0.9										
09/12/2015 15:00:00	249	2										
09/12/2015 16:00:00	299	0.3										
09/12/2015 17:00:00	331	0.5										
09/12/2015 18:00:00	290	0.6										
09/12/2015 19:00:00	274	1.6										
09/12/2015 20:00:00	249	1.8										
09/12/2015 21:00:00	251	2.1										
09/12/2015 22:00:00	271	1.6										
09/12/2015 23:00:00	340	0.5										
10/12/2015 00:00:00	256	2										
10/12/2015 01:00:00	233	1.4										
10/12/2015 02:00:00	255	2.8										
10/12/2015 03:00:00	248	3.3										
10/12/2015 04:00:00	321	1.7										
10/12/2015 05:00:00	312	0.9										
10/12/2015 06:00:00	290	1.1										
10/12/2015 07:00:00	272	1.6										
10/12/2015 08:00:00	275	1.2										
10/12/2015 09:00:00	292	1.3										
10/12/2015 10:00:00	338	1.4										
10/12/2015 11:00:00	283	1.1										
10/12/2015 12:00:00	342	1.6										
10/12/2015 13:00:00	344	1.2										
10/12/2015 14:00:00	344	0.7										
10/12/2015 15:00:00	313	0.7										
10/12/2015 16:00:00	239	1.6										
10/12/2015 17:00:00	255	2.1										
10/12/2015 18:00:00	330	0.7										
10/12/2015 19:00:00	205	1.1										
10/12/2015 20:00:00	253	2.1										
10/12/2015 21:00:00	309	1										
10/12/2015 22:00:00	270	1.5										
10/12/2015 23:00:00	248	0.7										
11/12/2015 00:00:00	318	0.7										
