Fine validità (UTC)	Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)	Irradianza globale visibile media oraria - componente dall'alto (W/M**2 Precipitazione cumulata su 1 ora (KG/M**2)	Umidita' relativa dell'aria istantanea a 2 m dal suolo (%)	Temperatura dell'aria istantanea a 2 m dal suolo (°C)
01/12/2015 00:00:00	101480	0	0	93	4.4
01/12/2015 01:00:00	101470	-3	0	93	5.1
01/12/2015 02:00:00	101450	-10	0	91	5.1
01/12/2015 03:00:00	101460	-9	0	93	4.1
01/12/2015 04:00:00	101460	-7	0	89	5
01/12/2015 05:00:00	101480	-9	0	90	4.9
01/12/2015 06:00:00	101480	0	0	88	6
01/12/2015 07:00:00	101500	11	0	88	6.5
01/12/2015 08:00:00	101560	59	0	91	4.8
01/12/2015 09:00:00	101620	189	0	86	5.9
01/12/2015 10:00:00	101670	282	0	81	6.5
01/12/2015 11:00:00	101660	335	0	70	9.8
01/12/2015 12:00:00	101600	311	0	68	10.9
01/12/2015 13:00:00	101590	274	0	66	11.5
01/12/2015 14:00:00	101560	172	0	64	12.4
01/12/2015 15:00:00	101570	78	0	67	12
01/12/2015 16:00:00	101620	9	0	78	10.2
01/12/2015 17:00:00	101680	0	0	83	9.1
01/12/2015 18:00:00	101720	-1	0	85	8.8
01/12/2015 19:00:00	101750	-1	0	88	8
01/12/2015 20:00:00	101760	-3	0	91	7.2
01/12/2015 21:00:00	101830	-2	0	93	6.3
01/12/2015 22:00:00	101870	0	0	93	6.6
01/12/2015 23:00:00	101880	-3	0	93	6.2
02/12/2015 00:00:00	101870	0	0	93	6.1
02/12/2015 01:00:00	101860	-3	0	94	6.2
02/12/2015 02:00:00	101880	-14	0	93	5.2
02/12/2015 03:00:00	101880	-10	0	95	4.8
02/12/2015 04:00:00	101900	-11	0	95	4.9
02/12/2015 05:00:00	101910	-10	0	93	4.8
02/12/2015 06:00:00	101930	-4	0	93	5.7
02/12/2015 07:00:00	101990	8	0	93	5.3
02/12/2015 08:00:00	102010	87	0	84	7.2
02/12/2015 09:00:00	102090	206	0	81	7.4
02/12/2015 10:00:00	102130	285	0	83	8
02/12/2015 11:00:00	102130	323	0	75	10.1
02/12/2015 12:00:00	102100	305	0	71	10.8
02/12/2015 13:00:00	102070	249	0	70	11.6
02/12/2015 14:00:00	102020	168	0	64	12.4
02/12/2015 15:00:00	102010	72	0	73	11.1
02/12/2015 16:00:00	102050	7	0	92	8.5
02/12/2015 17:00:00	102090	-1	0	91	8.1
02/12/2015 18:00:00	102100	-2	0	90	7.5
02/12/2015 19:00:00	102140	-2	0	92	7.3
02/12/2015 20:00:00	102140	-1	0	93	6.9
02/12/2015 21:00:00	102160	0	0	93	6.4
02/12/2015 22:00:00	102170	-1	0	94	6.1
02/12/2015 23:00:00	102160	-2	0	93	6.1
03/12/2015 00:00:00	102180	-3	0	92	5.9
03/12/2015 01:00:00	102190	-1	0	92	5.6
03/12/2015 02:00:00	102190	-13	0	93	3.1
03/12/2015 03:00:00	102200	-9	0	93	2.6
03/12/2015 04:00:00	102190	-12	0	95	3.3
03/12/2015 05:00:00	102210	-9	0	94	4
03/12/2015 06:00:00	102250	-2	0	94	2.7
03/12/2015 07:00:00	102290	12	0	93	3.3
03/12/2015 08:00:00	102340	66	0	91	3.6
03/12/2015 09:00:00	102380	110	0	88	5.1
03/12/2015 10:00:00			0		
03/12/2015 11:00:00			0		
03/12/2015 12:00:00			0		
03/12/2015 13:00:00			0		
03/12/2015 14:00:00	102220	153	0	80	9.3
03/12/2015 15:00:00	102260	73	0	84	8.8
03/12/2015 16:00:00	102250	6	0	88	8.2
03/12/2015 17:00:00	102290	-4	0	95	5.6
03/12/2015 18:00:00	102340	-1	0	99	4.5
03/12/2015 19:00:00	102400	2	0	100	4.4
03/12/2015 20:00:00	102430	0	0	100	3.9
