Fine validità (UTC)	Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)	Irradianza globale visibile media oraria - componente dall'alto (W/M**2)	Precipitazione cumulata su 1 ora (KG/M**2)	Umidita' relativa dell'aria istantanea a 2 m dal suolo (%)	Temperatura dell'aria istantanea a 2 m dal suolo (°C)
01/12/2016 00:00:00	101770	0	0	54	2.4
01/12/2016 01:00:00	101690	0	0	48	2.9
01/12/2016 02:00:00	101640	-1	0	44	3.6
01/12/2016 03:00:00	101570	-6	0	44	3.6
01/12/2016 04:00:00	101580	-4	0	44	3.7
01/12/2016 05:00:00	101550	-6	0	44	4.1
01/12/2016 06:00:00	101540	-2	0	46	4.3
01/12/2016 07:00:00	101530	0	0	46	4.8
01/12/2016 08:00:00	101520	35	0	47	5.1
01/12/2016 09:00:00	101550	82	0	48	5.7
01/12/2016 10:00:00	101530	164	0	48	7.2
01/12/2016 11:00:00	101420	241	0	45	8.6
01/12/2016 12:00:00	101330	341	0	43	10.1
01/12/2016 13:00:00	101280	215	0	49	9.5
01/12/2016 14:00:00	101230	147	0	49	10
01/12/2016 15:00:00	101160	76	0	55	9.2
01/12/2016 16:00:00	101100	10	0	56	8.4
01/12/2016 17:00:00	101110	0	0	58	8
01/12/2016 18:00:00	101080	0	0	66	6.6
01/12/2016 19:00:00	101040	-1	0	63	7
01/12/2016 20:00:00	101000	-3	0	68	5.6
01/12/2016 21:00:00	100930	0	0	66	6
01/12/2016 22:00:00	100860	0	0	69	5.3
01/12/2016 23:00:00	100850	0	0	69	5.7
02/12/2016 00:00:00	100800	-1	0	81	4.4
02/12/2016 01:00:00	100730	-6	0	81	4.6
02/12/2016 02:00:00	100680	-8	0	79	5
02/12/2016 03:00:00	100580	-9	0	77	6.1
02/12/2016 04:00:00	100540	-8	0	79	6.1
02/12/2016 05:00:00	100480	-7	0	79	5.9
02/12/2016 06:00:00	100480	-1	0	74	6.7
02/12/2016 07:00:00	100450	9	0	76	6.5
02/12/2016 08:00:00	100480	93	0	73	8.1
02/12/2016 09:00:00	100490	210	0	69	9.4
02/12/2016 10:00:00	100490	303	0	61	11.2
02/12/2016 11:00:00	100460	343	0	60	11.5
02/12/2016 12:00:00	100420	331	0	60	11.8
02/12/2016 13:00:00	100360	262	0	60	11.9
02/12/2016 14:00:00	100370	171	0	62	12
02/12/2016 15:00:00	100420	76	0	70	11.3
02/12/2016 16:00:00	100500	10	0	80	8.8
02/12/2016 17:00:00	100560	0	0	79	8.2
02/12/2016 18:00:00	100620	-1	0	82	7.4
02/12/2016 19:00:00	100680	0	0	84	7.3
02/12/2016 20:00:00	100720	0	0	87	6.5
02/12/2016 21:00:00	100780	-2	0	90	5.5
02/12/2016 22:00:00	100860	-4	0	92	4.8
02/12/2016 23:00:00	100900	-8	0	92	4.2
03/12/2016 00:00:00	100940	-3	0	91	4.5
03/12/2016 01:00:00	100950	0	0	87	5.8
03/12/2016 02:00:00	100970	-4	0	89	6.1
03/12/2016 03:00:00	101000	-7	0	89	5.8
03/12/2016 04:00:00	101000	-9	0	91	5.7
03/12/2016 05:00:00	101040	-7	0	90	5.9
03/12/2016 06:00:00	101080	-1	0	90	5.7
03/12/2016 07:00:00	101130	5	0	90	5.3
03/12/2016 08:00:00	101180	39	0	88	5.9
03/12/2016 09:00:00	101230	121	0	84	6.9
03/12/2016 10:00:00	101250	163	0	78	8.1
03/12/2016 11:00:00	101240	137	0	79	8
03/12/2016 12:00:00	101220	151	0	74	7.9
03/12/2016 13:00:00	101230	98	0	73	7.8
03/12/2016 14:00:00	101240	32	0	75	7.3
03/12/2016 15:00:00	101260	12	0	77	7.2
03/12/2016 16:00:00	101300	0	0	84	6.9
03/12/2016 17:00:00	101350	0	0	85	6.9
03/12/2016 18:00:00	101420	0	0	87	6.9
03/12/2016 19:00:00	101460	0	0	96	6.4
03/12/2016 20:00:00	101500	0	1.2	98	6.3
03/12/2016 21:00:00	101530	0	0	98	6.3
03/12/2016 22:00:00	101560	0	0	98	6.5
03/12/2016 23:00:00	101580	-2	0.2	94	6.6
04/12/2016 00:00:00	101580	1	0.4	95	6.4
04/12/2016 01:00:00	101590	0	0	92	6.6
04/12/2016 02:00:00	101600	-6	0	91	6.7
04/12/2016 03:00:00	101600	-3	0	86	7
04/12/2016 04:00:00	101610	-5	0	86	7.1
04/12/2016 05:00:00	101620	-3	0	82	7.2
04/12/2016 06:00:00	101630	-5	0	85	7
04/12/2016 07:00:00	101680	2	0	85	7.4
04/12/2016 08:00:00	101740	22	0	81	7.6
04/12/2016 09:00:00	101770	47	0	81	7.7
04/12/2016 10:00:00	101770	85	0	79	7.9
04/12/2016 11:00:00	101750	68	0	80	8.2
04/12/2016 12:00:00	101740	58	0	78	8.4
04/12/2016 13:00:00	101710	39	0	77	8.5
04/12/2016 14:00:00	101700	17	0	78	7.8
04/12/2016 15:00:00	101700	12	0	83	7.7
04/12/2016 16:00:00	101720	1	0	87	8
04/12/2016 17:00:00	101760	-2	0	85	7.8
04/12/2016 18:00:00	101800	1	0	84	8
04/12/2016 19:00:00	101830	1	0	81	8.1
04/12/2016 20:00:00	101860	0	0	81	8.3
04/12/2016 21:00:00	101890	0	0	90	7.9
04/12/2016 22:00:00	101930	-2	0	86	7.6
04/12/2016 23:00:00	101940	-1	0	83	7.7
05/12/2016 00:00:00	101940	0	0	83	7.6
05/12/2016 01:00:00	101950	0	0	86	7.4
05/12/2016 02:00:00	101940	-5	0	83	7.4
05/12/2016 03:00:00	101910	0	0	82	7.6
05/12/2016 04:00:00	101920	1	0	82	7.7
05/12/2016 05:00:00	101950	0	0	87	7.3
05/12/2016 06:00:00	101940	1	0	83	7.9
05/12/2016 07:00:00	101970	1	0	82	7.8
05/12/2016 08:00:00	102020	19	0	83	8
05/12/2016 09:00:00	102060	49	0	83	8.3
05/12/2016 10:00:00	102060	70	0	84	7.9
05/12/2016 11:00:00	102030	47	0	81	8.4
05/12/2016 12:00:00	101990	46	0	80	7.9
05/12/2016 13:00:00	101940	55	0	84	8.1
05/12/2016 14:00:00	101940	63	0	84	8.2
05/12/2016 15:00:00	101920	29	0	85	8.2
05/12/2016 16:00:00	101910	5	0	87	8.3
05/12/2016 17:00:00	101910	0	0	86	8.4
05/12/2016 18:00:00	101920	0	0	89	8
05/12/2016 19:00:00	101910	0	0	88	8
05/12/2016 20:00:00	101940	-1	0	89	7.8
05/12/2016 21:00:00	101970	1	0	92	7.4
05/12/2016 22:00:00	101980	-3	0	95	6.4
05/12/2016 23:00:00	101940	0	0	96	6.5
06/12/2016 00:00:00	101930	-1	0	95	6.7
06/12/2016 01:00:00	101920	0	0	92	7.2
06/12/2016 02:00:00	101920	-1	0	91	7.6
06/12/2016 03:00:00	101900	-3	0	91	7.5
06/12/2016 04:00:00	101890	-2	0	95	6.2
06/12/2016 05:00:00	101900	-2	0	92	6.6
06/12/2016 06:00:00	101910	-2	0	92	6.5
06/12/2016 07:00:00	101950	4	0	90	6.7
06/12/2016 08:00:00	101990	58	0	89	6.8
06/12/2016 09:00:00	102030	205	0	83	8.2
06/12/2016 10:00:00	102060	262	0	77	9
06/12/2016 11:00:00	102000	325	0	73	10.4
06/12/2016 12:00:00	101950	322	0	70	11.2
06/12/2016 13:00:00	101930	236	0	76	10.6
06/12/2016 14:00:00	101940	145	0	75	10.6
06/12/2016 15:00:00	101960	61	0	89	9.4
06/12/2016 16:00:00	102030	4	0	96	7.7
06/12/2016 17:00:00	102070	-2	0	99	7.1
06/12/2016 18:00:00	102130	0	0	100	6.7
06/12/2016 19:00:00	102160	0	0	100	6.8
06/12/2016 20:00:00	102190	1	0	100	6.7
06/12/2016 21:00:00	102210	1	0	99	6.5
06/12/2016 22:00:00	102240	0	0	97	6.7
06/12/2016 23:00:00	102270	0	0	98	5.7
07/12/2016 00:00:00	102300	0	0	100	4.8
07/12/2016 01:00:00	102310	0	0	101	4.6
07/12/2016 02:00:00	102350	-9	0	100	4.5
07/12/2016 03:00:00	102350	-9	0	98	3.2
