"lon" "lat" "0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23"
"1" 9.75 44 0.0119905 0 0.5421365 0.8549365 0.763041 0.151254 5.445 1.366745 0.54044 0 0.09605185 8.682535 20.18 23.4975 13.98755 6.968435 4.21871 8.06 1.10659 0.84909 0 0.12344745 0.00192524 0
"2" 9.75 44.1 0 0 0.06050015 0.1087055 0.215978 0.09238355 1.7388025 1.697945 0.488533 0 0.9114235 7.81955 11.62062 10.387265 12.63585 2.39303 4.305955 3.68772 0.4894905 0.3229555 0.1456435 0.201186 0.12844535 0.0342253
"3" 9.75 44.2 0 0 0.0790497 0.17877 0.43638 0.372839 1.8391085 1.769695 0.509175 0.00784273 0.002562555 8.487275 16.1514 12.43465 8.791895 2.424085 4.99863 4.09963 0.0680814 0.06723165 0 0.10770655 0.088735 0
"4" 9.75 44.3 0 0 0.0790497 0.17877 0.43638 0.372839 1.8391085 1.769695 0.509175 0.00784273 0.002562555 8.487275 16.1514 12.43465 8.791895 2.424085 4.99863 4.09963 0.0680814 0.06723165 0 0.10770655 0.088735 0
"5" 9.75 44.4 0 0 0.681096 1.25972 1.31886 1.286685 3.621115 4.111315 1.6855155 0.1707465 0 7.692325 14.03405 12.95415 7.35066 2.76749 1.678345 1.82954 0 0.03344775 0 0.10229175 0.087469 0
"6" 9.75 44.5 0 0 0.0582028 0.707318 2.406855 4.225735 1.7209635 1.828615 3.04013 0.859625 0.4152285 9.43506 14.36005 7.5507 6.47976 2.47523 2.388975 2.006165 0.7017785 0.337576 0 0.0943942 0.073935662 0
"7" 9.75 44.6 0 0 0.0582028 0.707318 2.406855 4.225735 1.7209635 1.828615 3.04013 0.859625 0.4152285 9.43506 14.36005 7.5507 6.47976 2.47523 2.388975 2.006165 0.7017785 0.337576 0 0.0943942 0.073935662 0
"8" 9.75 44.7 0 1.007493 0.6113275 0.568675 2.150425 3.903055 0.9642885 1.823085 3.072505 0.883065 0.0223061 6.71017 14.40765 8.65157 7.36757 5.361525 2.614485 1.371215 1.2607495 2.010475 0 0.115383 0.10424935 0
"9" 9.75 44.8 0 1.007493 0.6113275 0.568675 2.150425 3.903055 0.9642885 1.823085 3.072505 0.883065 0.0223061 6.71017 14.40765 8.65157 7.36757 5.361525 2.614485 1.371215 1.2607495 2.010475 0 0.115383 0.10424935 0
"10" 9.75 44.9 0 0.4624645 0.722299 0.415235 1.56745 2.849935 2.625337 2.228685 3.824655 3.678885 0.84247 7.424795 15.7466 13.1468 8.18738 4.381835 1.1179935 0.437104 0.9264785 1.851205 0 0.127511 0.1072507 0
"11" 9.75 45 0 1.2869895 1.0904365 0.050222 0.2129715 0.3446945 1.790401 2.200925 3.184495 3.557875 0.86282 8.327325 16.6248 12.894 7.92123 4.132485 2.222455 0.99467 1.069541 1.934 0.01656075 0.1293605 0.1014492 0.00389167
"12" 9.85 44 0 0 0.8397795 1.324315 1.14655 0.234295 0.43 0.127938 0.0442982 0 0.1571755 9.17245 21.655 24.2283 13.61265 6.35162 10.9143 19.31 2.546055 1.86718 0 0.201528 0.0240174 0
