DATA	ORA	IDEN	> 0.30 µm       	> 0.40 µm           	> 0.50 µm      	 > 0.65 µm       	> 0.80 µm     	  > 1.00 µm       	> 1.60 µm      	 > 2.00 µm       	> 3.00 µm     	  > 4.00 µm       	> 5.00 µm      	 > 7.50 µm       	> 10.0 µm      	 > 15.0 µm      	 > 20.0 µm	0.30	0.40	0.50	0.65	0.8	1	1.6	2	3	4	5	7.5	10	15	20
22/11/2021	13:52:00	GR01	89948	40825	17841	4821	1510	745	350	114	37	20	13	7	4	1	1	49123	22984	13020	3311	765	395	236	77	17	7	6	3	3	0	1
22/11/2021	13:53:00	GR01	88621	39949	17701	4741	1555	785	325	112	36	17	12	6	3	0	0	48672	22248	12960	3186	770	460	213	76	19	5	6	3	3	0	0
22/11/2021	13:54:00	GR01	85542	38135	16569	4481	1215	605	170	93	39	25	18	7	0	0	0	47407	21566	12088	3266	610	435	77	54	14	7	11	7	0	0	0
22/11/2021	13:55:00	GR01	85027	38129	16799	4496	1480	725	275	122	64	50	37	22	10	0	0	46898	21330	12303	3016	755	450	153	58	14	13	15	12	10	0	0
22/11/2021	13:56:00	GR01	81696	35984	15462	4086	1470	825	365	158	67	43	28	21	11	4	1	45712	20522	11376	2616	645	460	207	91	24	15	7	10	7	3	1
22/11/2021	13:57:00	GR01	80716	36230	15727	4141	1470	805	360	169	72	53	42	21	10	2	1	44486	20503	11586	2671	665	445	191	97	19	11	21	11	8	1	1
22/11/2021	13:58:00	GR01	80228	35646	15422	4186	1440	830	270	135	69	45	28	16	13	4	1	44582	20224	11236	2746	610	560	135	66	24	17	12	3	9	3	1
22/11/2021	13:59:00	GR01	78258	34810	14661	3701	1230	530	235	117	50	31	27	16	9	5	2	43448	20149	10960	2471	700	295	118	67	19	4	11	7	4	3	2
22/11/2021	14:00:00	GR01	77514	33552	14405	3981	1335	750	300	158	84	49	37	27	17	4	1	43962	19147	10424	2646	585	450	142	74	35	12	10	10	13	3	1
22/11/2021	14:01:00	GR01	77154	33985	14601	3916	1455	740	285	140	68	48	32	20	9	2	0	43169	19384	10685	2461	715	455	145	72	20	16	12	11	7	2	0
22/11/2021	14:02:00	GR01	75974	33164	13940	3676	1290	705	285	149	83	55	36	19	9	1	0	42810	19224	10264	2386	585	420	136	66	28	19	17	10	8	1	0
22/11/2021	14:03:00	GR01	75632	32822	13790	3446	1130	640	325	162	80	42	28	13	6	0	0	42810	19032	10344	2316	490	315	163	82	38	14	15	7	6	0	0
22/11/2021	14:04:00	GR01	76303	33154	14611	4076	1265	715	355	190	95	63	42	24	14	1	0	43149	18543	10535	2811	550	360	165	95	32	21	18	10	13	1	0
22/11/2021	14:05:00	GR01	72478	31650	13064	3576	1340	770	365	185	78	53	31	12	7	0	0	40828	18586	9488	2236	570	405	180	107	25	22	19	5	7	0	0
22/11/2021	14:06:00	GR01	71208	30880	13023	3421	1225	660	340	173	108	66	55	35	19	11	7	40328	17857	9602	2196	565	320	167	65	42	11	20	16	8	4	7
22/11/2021	14:07:00	GR01	69975	30261	12598	3486	1205	695	265	176	95	66	48	31	17	5	1	39714	17663	9112	2281	510	430	89	81	29	18	17	14	12	4	1
22/11/2021	14:08:00	GR01	65220	27334	11597	3080	1075	645	290	155	82	58	39	25	15	4	3	37886	15737	8517	2005	430	355	135	73	24	19	14	10	11	1	3
22/11/2021	14:09:00	GR01	64288	27551	11562	3045	1090	615	325	193	100	62	44	27	13	2	1	36737	15989	8517	1955	475	290	132	93	38	18	17	14	11	1	1
22/11/2021	14:10:00	GR01	58460	25073	10450	2650	985	590	330	172	78	52	34	23	18	1	0	33387	14623	7800	1665	395	260	158	94	26	18	11	5	17	1	0
22/11/2021	14:11:00	GR01	52962	21938	8749	2195	810	490	190	106	53	36	20	10	6	0	0	31024	13189	6554	1385	320	300	84	53	17	16	10	4	6	0	0
22/11/2021	14:12:00	GR01	51613	21481	8469	2235	865	490	200	117	68	49	29	15	9	3	1	30132	13012	6234	1370	375	290	83	49	19	20	14	6	6	2	1
22/11/2021	14:13:00	GR01	52122	21727	8844	2250	790	490	205	106	55	36	30	16	9	2	0	30395	12883	6594	1460	300	285	99	51	19	6	14	7	7	2	0
22/11/2021	14:14:00	GR01	51844	21572	8799	2295	715	400	145	86	44	24	15	8	5	0	0	30272	12773	6504	1580	315	255	59	42	20	9	7	3	5	0	0
22/11/2021	14:15:00	GR01	54135	22631	9419	2470	900	500	215	133	80	57	36	22	10	0	0	31504	13212	6949	1570	400	285	82	53	23	21	14	12	10	0	0
22/11/2021	14:16:00	GR01	49081	20432	8198	2015	685	395	180	97	59	38	27	12	7	2	1	28649	12234	6183	1330	290	215	83	38	21	11	15	5	5	1	1
