TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
,55,56,10,14,53,58,113,112,89,87,88,0,0,0,0,0,0
2021-11-10T10:40:54Z,21.22,53.81,95,24,58.52,102.23,0.00,400.00,13,18,19,2748,780,92,5,1,1
2021-11-10T10:41:54Z,21.35,52.90,96,32,47.20,102.23,13.00,491.00,11,16,18,2031,583,88,9,2,1
2021-11-10T10:42:54Z,21.43,52.59,96,32,32.08,102.22,0.00,400.00,11,18,19,2259,641,101,12,1,0
2021-11-10T10:43:54Z,21.52,52.31,96,32,43.89,102.22,0.00,400.00,12,16,19,2166,633,102,8,1,0
2021-11-10T10:44:54Z,21.59,52.17,96,30,40.76,102.22,0.00,400.00,12,16,18,2310,658,82,11,0,0
2021-11-10T10:45:54Z,21.64,52.56,96,22,29.48,102.22,0.00,400.00,10,17,18,1995,551,97,13,1,1
2021-11-10T10:46:54Z,21.73,51.70,96,22,39.53,102.22,0.00,400.00,1,3,3,891,152,7,7,0,0
2021-11-10T10:47:54Z,21.77,51.62,96,31,31.90,102.22,0.00,400.00,12,15,15,2190,599,76,1,0,0
2021-11-10T10:48:54Z,21.80,51.44,96,31,31.39,102.22,0.00,400.00,10,14,14,1968,553,69,8,1,0
2021-11-10T10:49:54Z,21.82,51.29,95,31,33.37,102.21,0.00,400.00,9,14,15,1740,484,88,9,1,0
2021-11-10T10:50:54Z,21.84,51.58,95,25,53.36,102.22,0.00,400.00,6,11,13,1140,334,100,9,2,0
2021-11-10T10:51:54Z,21.87,51.12,95,35,42.07,102.21,0.00,400.00,7,14,15,1434,406,110,10,1,0
2021-11-10T10:52:54Z,21.90,50.78,95,35,53.25,102.20,0.00,400.00,7,11,14,1506,388,78,12,3,1
2021-11-10T10:53:54Z,21.93,51.90,95,32,34.99,102.20,0.00,400.00,9,14,15,1911,526,88,6,2,0
2021-11-10T10:54:54Z,21.93,51.99,95,35,35.06,102.19,0.00,400.00,9,13,14,1515,479,84,8,0,0
2021-11-10T10:55:54Z,21.96,51.14,95,29,34.18,102.19,0.00,400.00,8,12,13,1584,443,80,4,0,0
2021-11-10T10:56:54Z,21.97,52.35,95,36,45.89,102.19,0.00,400.00,8,11,12,1599,459,67,7,0,0
2021-11-10T10:57:54Z,21.94,51.17,95,45,39.49,102.18,0.00,400.00,10,13,13,1968,550,72,2,0,0
2021-11-10T10:58:54Z,21.89,50.99,95,46,33.37,102.18,0.00,400.00,7,11,12,1329,386,78,3,0,0
2021-11-10T10:59:54Z,21.89,50.64,95,46,35.86,102.18,0.00,400.00,10,14,17,1923,553,64,11,2,0
2021-11-10T11:00:54Z,21.89,50.73,95,36,50.35,102.18,0.00,400.00,11,15,17,2007,585,87,10,0,0
2021-11-10T11:01:54Z,21.87,50.77,95,42,35.57,102.18,0.00,400.00,6,10,10,1398,374,63,6,0,0
2021-11-10T11:02:54Z,21.87,50.62,95,42,50.98,102.18,0.00,400.00,9,13,14,1752,517,60,5,2,0
2021-11-10T11:03:54Z,21.87,50.65,95,42,36.98,102.18,0.00,400.00,8,12,15,1644,469,72,11,4,1
2021-11-10T11:04:54Z,21.87,50.70,95,42,33.48,102.18,0.00,400.00,9,13,14,1857,512,82,5,1,0
2021-11-10T11:05:54Z,21.87,50.64,95,42,43.06,102.17,0.00,400.00,9,14,15,1755,503,85,6,1,1
2021-11-10T11:06:54Z,21.87,50.59,95,42,34.00,102.17,0.00,400.00,9,13,15,1827,536,71,10,2,0
2021-11-10T11:07:54Z,21.87,50.61,95,42,46.17,102.16,0.00,400.00,10,13,16,1770,518,72,7,4,1
2021-11-10T11:08:54Z,21.86,50.56,95,42,31.27,102.16,0.00,400.00,8,12,12,1566,430,61,7,0,0
2021-11-10T11:09:54Z,21.89,50.53,95,44,34.30,102.15,0.00,400.00,9,12,13,1902,515,50,3,2,0
2021-11-10T11:10:54Z,21.90,50.46,95,42,32.75,102.15,0.00,400.00,10,13,14,1938,558,54,3,1,0
2021-11-10T11:11:57Z,21.87,50.52,95,42,51.62,102.14,0.00,400.00,10,12,13,1875,520,63,3,1,1
2021-11-10T11:13:00Z,21.87,50.54,95,42,35.11,102.15,0.00,400.00,3,7,8,783,225,52,6,0,0
2021-11-10T11:14:03Z,21.86,50.42,95,42,45.65,102.15,0.00,400.00,4,7,8,870,237,72,2,1,0
2021-11-10T11:15:06Z,21.86,50.49,95,42,35.63,102.15,0.00,400.00,8,12,13,1542,443,71,7,1,0
2021-11-10T11:16:09Z,21.83,50.48,95,42,33.12,102.15,0.00,400.00,12,14,16,2556,646,60,4,0,0
