"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Sonic_Anemometer"
"TIMESTAMP","RECORD","u","v","w","t"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2021-12-03 09:15:00",5125505,0.002,0.064,-0.004,21.25
"2021-12-03 09:15:00.05",5125506,0.004,0.065,-0.003,21.24
"2021-12-03 09:15:00.1",5125507,0.003,0.066,-0.005,21.25
"2021-12-03 09:15:00.15",5125508,0.005,0.066,-0.002,21.3
"2021-12-03 09:15:00.2",5125509,0.005,0.064,-0.002,21.25
"2021-12-03 09:15:00.25",5125510,0.006,0.065,-0.002,21.27
"2021-12-03 09:15:00.3",5125511,0.009,0.065,-0.002,21.28
"2021-12-03 09:15:00.35",5125512,0.01,0.066,-0.002,21.3
"2021-12-03 09:15:00.4",5125513,0.008,0.062,-0.001,21.27
"2021-12-03 09:15:00.45",5125514,0.007,0.061,-0.001,21.34
"2021-12-03 09:15:00.5",5125515,0.012,0.062,-0.002,21.27
"2021-12-03 09:15:00.55",5125516,0.014,0.062,0,21.32
"2021-12-03 09:15:00.6",5125517,0.013,0.058,-0.001,21.34
"2021-12-03 09:15:00.65",5125518,0.014,0.061,0,21.31
"2021-12-03 09:15:00.7",5125519,0.014,0.059,0.001,21.35
"2021-12-03 09:15:00.75",5125520,0.016,0.059,0,21.35
"2021-12-03 09:15:00.8",5125521,0.02,0.058,0,21.3
"2021-12-03 09:15:00.85",5125522,0.02,0.057,-0.001,21.35
"2021-12-03 09:15:00.9",5125523,0.02,0.055,-0.001,21.37
"2021-12-03 09:15:00.95",5125524,0.021,0.053,0,21.35
"2021-12-03 09:15:01",5125525,0.026,0.056,0,21.35
"2021-12-03 09:15:01.05",5125526,0.025,0.054,-0.001,21.38
"2021-12-03 09:15:01.1",5125527,0.023,0.053,-0.001,21.34
"2021-12-03 09:15:01.15",5125528,0.026,0.055,-0.001,21.35
"2021-12-03 09:15:01.2",5125529,0.028,0.053,0,21.38
"2021-12-03 09:15:01.25",5125530,0.028,0.051,-0.002,21.37
"2021-12-03 09:15:01.3",5125531,0.029,0.051,-0.002,21.39
"2021-12-03 09:15:01.35",5125532,0.033,0.052,0,21.39
"2021-12-03 09:15:01.4",5125533,0.029,0.048,-0.002,21.37
"2021-12-03 09:15:01.45",5125534,0.03,0.049,-0.001,21.42
"2021-12-03 09:15:01.5",5125535,0.032,0.051,-0.001,21.45
"2021-12-03 09:15:01.55",5125536,0.032,0.047,-0.001,21.42
"2021-12-03 09:15:01.6",5125537,0.035,0.048,-0.002,21.44
"2021-12-03 09:15:01.65",5125538,0.038,0.047,-0.001,21.42
"2021-12-03 09:15:01.7",5125539,0.038,0.045,-0.001,21.42
"2021-12-03 09:15:01.75",5125540,0.036,0.047,0,21.45
"2021-12-03 09:15:01.8",5125541,0.038,0.045,0.001,21.44
"2021-12-03 09:15:01.85",5125542,0.039,0.044,-0.003,21.44
"2021-12-03 09:15:01.9",5125543,0.038,0.043,-0.001,21.44
"2021-12-03 09:15:01.95",5125544,0.038,0.043,-0.001,21.45
"2021-12-03 09:15:02",5125545,0.041,0.044,0,21.44
"2021-12-03 09:15:02.05",5125546,0.04,0.041,-0.002,21.46
"2021-12-03 09:15:02.1",5125547,0.039,0.043,-0.001,21.48
"2021-12-03 09:15:02.15",5125548,0.043,0.043,0.002,21.47
"2021-12-03 09:15:02.2",5125549,0.038,0.041,-0.001,21.49
"2021-12-03 09:15:02.25",5125550,0.041,0.04,-0.001,21.49
"2021-12-03 09:15:02.3",5125551,0.042,0.041,0.001,21.49
"2021-12-03 09:15:02.35",5125552,0.043,0.039,0.001,21.49
"2021-12-03 09:15:02.4",5125553,0.043,0.041,0.001,21.51
"2021-12-03 09:15:02.45",5125554,0.042,0.039,0.003,21.49
"2021-12-03 09:15:02.5",5125555,0.042,0.035,0.003,21.49
"2021-12-03 09:15:02.55",5125556,0.046,0.036,0.004,21.51
