"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Thermohygrometer"
"TIMESTAMP","RECORD","TC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2021-12-03 09:15:00",256052,21.08,38.63
"2021-12-03 09:15:01",256053,21.06,38.64
"2021-12-03 09:15:02",256054,21.06,38.64
"2021-12-03 09:15:03",256055,21.05,38.6
"2021-12-03 09:15:04",256056,21.05,38.56
"2021-12-03 09:15:05",256057,21.06,38.61
"2021-12-03 09:15:06",256058,21.05,38.59
"2021-12-03 09:15:07",256059,21.04,38.59
"2021-12-03 09:15:08",256060,21.05,38.59
"2021-12-03 09:15:09",256061,21.06,38.6
"2021-12-03 09:15:10",256062,21.07,38.57
"2021-12-03 09:15:11",256063,21.07,38.6
"2021-12-03 09:15:12",256064,21.07,38.57
"2021-12-03 09:15:13",256065,21.07,38.57
"2021-12-03 09:15:14",256066,21.07,38.57
"2021-12-03 09:15:15",256067,21.08,38.55
"2021-12-03 09:15:16",256068,21.06,38.52
"2021-12-03 09:15:17",256069,21.06,38.55
"2021-12-03 09:15:18",256070,21.08,38.56
"2021-12-03 09:15:19",256071,21.1,38.56
"2021-12-03 09:15:20",256072,21.09,38.53
"2021-12-03 09:15:21",256073,21.09,38.56
"2021-12-03 09:15:22",256074,21.08,38.56
"2021-12-03 09:15:23",256075,21.08,38.56
"2021-12-03 09:15:24",256076,21.08,38.55
"2021-12-03 09:15:25",256077,21.08,38.54
"2021-12-03 09:15:26",256078,21.07,38.55
"2021-12-03 09:15:27",256079,21.1,38.57
"2021-12-03 09:15:28",256080,21.11,38.59
"2021-12-03 09:15:29",256081,21.1,38.59
"2021-12-03 09:15:30",256082,21.09,38.59
"2021-12-03 09:15:31",256083,21.11,38.59
"2021-12-03 09:15:32",256084,21.08,38.57
"2021-12-03 09:15:33",256085,21.08,38.57
"2021-12-03 09:15:34",256086,21.08,38.57
"2021-12-03 09:15:35",256087,21.08,38.55
"2021-12-03 09:15:36",256088,21.1,38.56
"2021-12-03 09:15:37",256089,21.09,38.59
"2021-12-03 09:15:38",256090,21.08,38.56
"2021-12-03 09:15:39",256091,21.04,38.54
"2021-12-03 09:15:40",256092,21.1,38.56
"2021-12-03 09:15:41",256093,21.07,38.57
"2021-12-03 09:15:42",256094,21.09,38.57
"2021-12-03 09:15:43",256095,21.07,38.57
"2021-12-03 09:15:44",256096,21.09,38.57
"2021-12-03 09:15:45",256097,21.09,38.59
"2021-12-03 09:15:46",256098,21.09,38.59
"2021-12-03 09:15:47",256099,21.08,38.59
"2021-12-03 09:15:48",256100,21.05,38.56
"2021-12-03 09:15:49",256101,21.09,38.59
"2021-12-03 09:15:50",256102,21.06,38.58
"2021-12-03 09:15:51",256103,21.06,38.58
"2021-12-03 09:15:52",256104,21.07,38.58
"2021-12-03 09:15:53",256105,21.09,38.6
"2021-12-03 09:15:54",256106,21.09,38.63
"2021-12-03 09:15:55",256107,21.09,38.6
"2021-12-03 09:15:56",256108,21.08,38.63
"2021-12-03 09:15:57",256109,21.09,38.6
"2021-12-03 09:15:58",256110,21.1,38.61
"2021-12-03 09:15:59",256111,21.07,38.62
"2021-12-03 09:16:00",256112,21.11,38.58
"2021-12-03 09:16:01",256113,21.07,38.59
"2021-12-03 09:16:02",256114,21.09,38.63
"2021-12-03 09:16:03",256115,21.08,38.64
"2021-12-03 09:16:04",256116,21.1,38.64
"2021-12-03 09:16:05",256117,21.1,38.6
"2021-12-03 09:16:06",256118,21.11,38.61
"2021-12-03 09:16:07",256119,21.06,38.62
"2021-12-03 09:16:08",256120,21.08,38.59
"2021-12-03 09:16:09",256121,21.08,38.59
"2021-12-03 09:16:10",256122,21.07,38.6
"2021-12-03 09:16:11",256123,21.11,38.61
"2021-12-03 09:16:12",256124,21.11,38.61
"2021-12-03 09:16:13",256125,21.11,38.61
"2021-12-03 09:16:14",256126,21.11,38.61
"2021-12-03 09:16:15",256127,21.11,38.61
"2021-12-03 09:16:16",256128,21.07,38.59
"2021-12-03 09:16:17",256129,21.08,38.59
"2021-12-03 09:16:18",256130,21.07,38.59
"2021-12-03 09:16:19",256131,21.04,38.59
"2021-12-03 09:16:20",256132,21.09,38.6
"2021-12-03 09:16:21",256133,21.09,38.6
"2021-12-03 09:16:22",256134,21.09,38.6
"2021-12-03 09:16:23",256135,21.05,38.61
"2021-12-03 09:16:24",256136,21.12,38.6
"2021-12-03 09:16:25",256137,21.1,38.58
"2021-12-03 09:16:26",256138,21.1,38.58
"2021-12-03 09:16:27",256139,21.1,38.58
"2021-12-03 09:16:28",256140,21.12,38.55
"2021-12-03 09:16:29",256141,21.11,38.62
"2021-12-03 09:16:30",256142,21.12,38.65
"2021-12-03 09:16:31",256143,21.09,38.64
"2021-12-03 09:16:32",256144,21.06,38.61
"2021-12-03 09:16:33",256145,21.1,38.65
"2021-12-03 09:16:34",256146,21.09,38.68
"2021-12-03 09:16:35",256147,21.09,38.68
"2021-12-03 09:16:36",256148,21.09,38.71
"2021-12-03 09:16:37",256149,21.1,38.75
"2021-12-03 09:16:38",256150,21.12,38.75
"2021-12-03 09:16:39",256151,21.11,38.75
"2021-12-03 09:16:40",256152,21.11,38.8
"2021-12-03 09:16:41",256153,21.1,38.76
"2021-12-03 09:16:42",256154,21.12,38.81
"2021-12-03 09:16:43",256155,21.1,38.79
"2021-12-03 09:16:44",256156,21.1,38.84
"2021-12-03 09:16:45",256157,21.09,38.84
"2021-12-03 09:16:46",256158,21.12,38.86
"2021-12-03 09:16:47",256159,21.12,38.86
"2021-12-03 09:16:48",256160,21.12,38.85
"2021-12-03 09:16:49",256161,21.12,38.84
